,stars,text,category,predict
219,2,"I really wanted this place to be good and it just did not come through.

It is inexpensive, but that is not enough of a reason to go. I would love to have a better noodle place in the neighbourhood.",5955,4
220,2,The chilli dog was not that good. The outside of the hotdog was hard and the bread tasted stale. Idk how this place is even in business. The prices were low though so there is that.,3724,4
221,2,"I really wanted to love this place, but just wasn't impressed at all. Was here Sunday, Jan 3, about 11:45 am, and the young man that took our order had absolutely no interest in his job. Didn't greet us as we went to the ordering station. I even mentioned this was our first time here and he made no response at all! I do need to say though there was another worker in the lobby cleaning tables and he  was super friendly, which delighted us after the stone face at the counter! My daughter and I each ordered the little cheeseburgers fully loaded. I guess fully loaded is what made the bun  a soggy mess. The burger itself was tasty and very big, but we couldn't get past the falling apart soggy bun. Also we ordered a large Cajun fry to split which was way too much ( Mr personality failed to mention this to us) they were fairly good, but a little too salty. Also surprised this burger place doesn't serve milk shakes- we did ask. 
Think we will keep searching for a great burger place because this isn't it for us.",5790,4
228,2,"I have been here a few times, since my kids (and I) love the Custard. Though the 4 times we have eaten Brazier items I have been disappointed. 
-I have ordered the Mushroom Swiss Burger 2 times and both times SERIOUSLY LACKING Mushrooms (5 small sliced mushrooms on one and 3 on the other). I went up to the counter both times  and they said that was the standard amount!???!  
-Burgers are yummy but very thin patty and too much bun.
-Fries are good but inconsistent in how they are cooked to completion.
-Chicken Fingers have breaking that overwhelms the meat.
I feel it is not worth the premium prices. $48 for 5 kids and 1 adult to eat was more than I would like to pay, for a fast food experience! 
Disappointing food. Amazing Custard.",2846,5
229,2,"We went 2 weeks prior to scout out parking and availability for our companion who uses a scooter. We had a great meal and service and actually requested our server for our return dinning along with asking for a table open enough for the scooter. We arrived a week later for our reservation and we were seated in the tightly occupied room that had tables far more accessible for the scooter in addition, I was really irritated when the server we had requested was not assigned to our table even when she was taking care of tables right next to ours.
The meal was good enough even though 3 of us ordered the Rib Eye, the cuts were cooked properly and had great flavor but the 3 steaks were really tough and chewy. We all agreed that we've had similar tenderness  at a low cost steak joint.",7064,4
233,2,"Solid service. Personable bartenders. However, once the significant other complains about the bathrooms...it's over.",239,4
235,2,"The food is pretty good here (I'd recommend the garlic naan and malai kofta) but their service is BAD! They take forever to take your order, serve the food, bring the check! They do show a real sense of urgency while clearing food off your table. The waitress collected my plate when there was still food on it, I had to tell her that I was still eating. Do visit if you love Indian food but expect to overpay and receive sub standard service!",6754,5
255,2,"Cheeseburger sliders were.. aight. Not worth it for the price. 

Service was friendly.",570,5
257,2,"Service here is spotty and the wait is always at last 20 minutes. During a lunch rush could be longer.
Food isn't that great of quality either.",4481,5
259,2,I was so excited for this authentic Thai restaurant and was sorely disappointed. The only good thing we had was the Thai beef jerky. Everything else was unmemorable as I literally can't remember what else we ordered.  Very greatly disappointed =(,741,5
263,2,"""Food above average for Vegas but just alright for vegan food overall. 1 hour wait after ordering with only 4 tables full is crazy.""",3071,4
274,2,"I am not a fan of the D hotel at ALL - and the D grill is no exception. It took almost an hour after ordering just to get an order of nachos. And they were $18 freakin' dollars!  Servers almost seemed to intentionally ignore people. 

The one good thing I can say is that the nachos were huge and they were generous with the toppings - I got the steak nachos and was pleasantly surprised but the amount of meat that was on them - but the chips didn't taste very fresh. 

I know Vegas is generally expensive for everything but at these prices, I'm certain you could find better food.",570,4
277,2,"swung in for lunch... with 3 ppl for a bite after a meeting... casual décor and ambiance, which is what I like... good service as well.... prices were also reasonable for yorkkville.... but the food was sub par.... to say the least. im a big fan of their other location but here the quality just wasn't that great... scallop main was dry and over cooked which I couldn't understand cause the sauce it came with was swimming in oil.... the veal was all gristly and had a nasty tendon/vein running through it... both orders... if we had time we would have made a point of mentioning it to the manager but we had to go.... maybe one more try, but im not in a hurry...",4916,4
279,2,Not worth the price. I'll stay with Sammy's trying to go big time in a growing town and missed the mark. Don't think I'll go back for a while.,6997,5
280,2,"Great food! Huge buffet selection.
----------------------------------------------
This place is getting more and more expensive by the day. We have a holiday lunch for $30 a pop and the food was pretty much the same for everyday menu. Why!?

I really dont think this place is worth it. There is a plethora of great Indian places in the GTA where you can enjoy better food than TF and I am going there!",1291,4
281,2,"Ça m'embête un peux de ne laisser que 2 étoiles parce que le gérant a tout fait pour arranger la situation, je sais comment c'est difficile d'avoir du bon personnelle de nos jours. 

Les produits utilisés sont excellent et valent le prix, sauf que l'exécution laisse a désirée. Les huitres étaient excellentes  mais très mal ouvertes, beaucoup de morceaux de coquille, ce qui était désagréable  a manger. 
Les pétoncles excellentes sauf que l'accompagnement mal exécuté et pas assaisonné.
Le carpaccio de pieuvre était ok, mais pas plus, pas assez mis en valeur, manquait d'acidité et d'assaisonnement. 
Les pilons de canard étaient élastique et la sauce bbq ne goutait rien. La serveuse m'a offert de les changer, ce que j'ai fait et j'ai pris le duo de truite. 
Le duo de truite fumé est difficile a raté puisque il n'y a rien d'autre dans l'assiette, parfaitement fumé, meilleur plat que j'ai gouté là-bas. 
 Le tartare de canard malheureusement manquait de gout car encore une fois pas assaisonné. 
De plus la serveuse a oublier de m'apporter un verre de vin blanc pour accompagner la truite, je lui ai donc mentionner. Elle m'a dit qu'elle allait s'assurer qu'il n'apparaisse pas sur ma facture. Quand j'ai reçu la facture devinez quoi? Le vin blanc y était. La serveuse s'est encore excusé et m'a offert un digestif que j'ai refusé car j'avais déjà bu pas mal.
C'est vraiment dommage parce qu'on ressent un effort de la direction pour offrir un moment agréable au client. Il va leur rester a trouver du personnelle a la hauteur des produit et a l'emplacement qui est magnifique.",6310,4
289,2,I haven't even ate yet... 15 min and wow here come my drinks! Hope theft food makes up for the slow service.,7362,4
291,2,"Great Service. Food was in need of help. Will try ribs next - However, somebody else will pick up the tab.",7992,4
293,2,"The food was just meh. There is so much good to great food in the area, eat first then come here for drinks and the music. 

There is a difference between rustic and dirty. This place is just dirty. Bathrooms where DISGUSTING. It could be because it's closing and the owners don't care anymore. 

If you want the same type of place that is clean with better food go to San Tan Flat.",1680,5
299,2,We used to eat here 1-2x per week. But their pizza started to taste differently about a year ago and we haven't been back much since.,6806,5
301,2,Good food but service is very slow. Need more staff. Cooks shouldn't be serving the food too... has great potential but not with current situation.,8407,4
304,2,"Let me start by saying I love Wingstop wings. I honestly would have them in any city that I visit. Lol That being said, this location as far as service has really gone downhill. It's sad. Wings are still solid, but the service is subpar.",2189,4
306,2,"Sen is an interesting spot.  It's Japanese restaurant, fusion-type décor, and Las Vegas sports betting all mixed into one.  Let me explain.  So, the Japanese part is easy - hot towel when you walk in, Japanese food on the menu, and a sushi bar in the corner.  The décor had some other themes to it and was somewhat of an eclectic selection from the candle holders to the wall art.  Now, the sports bar?  I've never seen a Japanese restaurant with a big screen TV behind the sushi chefs with the popular football game of the night on.

So I was here to take The Wife on a long-overdue date since our son has been an incredible beast lately.  Honestly, raising the next generation of Yelpers is tough, especially when they share your ""pizzazz.""  So we came for a quite dinner for The Wife's favorite, Japanese food.

The softshell crab roll she got was unremarkable.  There's only so much spicy tuna, ponzu sauce, and sriracha that people can experiment with to come up with the next ""creative"" sushi.  I'm a traditionalist - give me normal nigiri or sashimi and be done with it.  I had the chirashi and was disappointed - the chirashi at Tachibana in McLean had more fish and better variety for a ""special"" box than they had at Sen.  I felt like I had wasted my money.

Also, our server acted like she was high the entire time - and I'm talking baked on the good stuff since she didn't seem to connect sentences properly and would look at some ghost behind me through droopy eyes when we spoke.

No thanks, I'll go back to Raku.",4095,4
307,2,"Not my Macado's I remember in Boone,NC.  Place was empty and food took awhile to come out.",5226,4
313,2,"The place is really clean and modernish. The staff is very friendly and bathroom is clean. We were a party of 12 and it may have been to overwhelming for them because the food reflected that. My Pinakbet was drenched in shrimp paste. It was suppose to have lechon kawali, shrimp and tofu amongst all the veggies. I got 2 ladles of shrimp paste a bunch of veggies and 5 pieces of lechon kawali. The pancit miki was super salty.",2935,5
315,2,"red ginger pros: looks amazing the interior work and design of the place to dine is on point. 
the bar looks great for a sports enthusiast and the staff is friendly. 
red ginger cons: the food was ok at best we order for an app chicken avocado. that's all it was for $7 I'll pass. Next we ordered the bento box I order chicken teriyaki with brown rice. the chicken was over cooked and more flavor could have been put into the meal. 
The music selection while your eating is way too loud it sounds like a club for what you can hear on the radio. 
this place has great potential just hire a kitchen staff who can bring more to the table.",8090,5
320,2,Overpriced with loud music (club-atmosphere) so you can't hear anything you say. It's popular so they must be doing something right. I guess I'm old now.,3140,4
328,2,Mediocre Vietnamese food and the same goes  for service. Server brought food but no utensils. Had for it utensils and twice to have water refilled. There are many Vietnamese restaurants now in Charlotte and I consider this one of the worse. I have friends that travel from out of town and always ask for Vietnamese food. I can't recommend this one. I have eaten at Saigon Bay three times and this last visit will be my last.,7215,5
332,2,"A friend reminded me not to try this chain the last time I came to Vegas.  I think I know why now.  Since my sister wanted to try it out, we ordered three of the sliders.  The bread was soggy.   Patty was just there.  The customer service was great.",2843,5
335,2,"The crawfish étouffée was delicious. OK maybe two and a half stars. The wait staff talked with each other in Spanish and broken English to me. Had to repeat everything. I did not appreciate the fly buzzing around the table. The restaurant shares a large room with the Embassy Suites lobby.
 
But worse-their online site shows Sunday lunch starting at 11oclock. When we got there it said noon and we had to waiit in the lobby for an hour before being seated.

Signs showed two different starting times for breakfast right inside their restaurant. Highly disorganized. Horrible customer service. I suggest you look elsewhere.",1953,4
337,2,"Love kfc. Hate this place. Was just telling my mom how your order always goes up for negotiation here. Ordered 20 pice hot wings. Well they only have 15. Then the awkward silence then eventually I get ""do you still want 20?"" Eff yeah I do! If I wanted 15 I would've ordered 15. Then they ask me if I wanted to substitute my wings with wedges. That is NOT equivalent exchange. So when you come here prepare to ""pull up please"" but first he prepared for someone to try to renegotiate your order to make their job a bit more easier.",2146,5
342,2,"You are in Las Vegas.......there is alot better food out there......don't go here.

The place is run down, the chairs are torn up.  My stomach was pissed for like 48 hours afterwards.  Alright salsa.",4481,5
346,2,"I really wanted to like this place. The parking stalls were full and the drive through had cars lined up. It started off great. It was my first time and I did the drive through. The guy at the window, Adrian, was the kind of employee I would want to have working for me. He was friendly, informative and helpful answering all my questions. I selected the 4 piece chicken tender meal with ranch sauce, fries and a drink. 

The food (tenders and fries) were very hot which I liked. But the look, texture and taste was less than impressive. I called my girlfriend, who was dying to know how it was. I know she was hoping I could report wonderful news. I snapped a pic of the piping hot chicken tender that was happily burning my fingers. She responded with, ""It looks burnt and dry.""  

I'm a die hard ranch sauce fan but their ranch sauce would ward off an entire army of vampires.  The smell of garlic is permeating my jeep and I fear the worst for my pores.  

I really wanted to like the chicken. The price was reasonable. I wished I would have only ordered 3 tenders instead of 4 because I felt compelled not to waste them.",2106,4
348,2,"The food here is good, but the service sucks and so does trying to make a reservation. I called to make a reservation on a Friday she asked what time and for how many, so when I told her she said they don't take reservations on a Friday lol so why did she asked me what time...",1168,4
349,2,"I've been to this place a couple of times.. stopped by again today after probably 2 years.  While the sandwiches are good, its taken 15 minutes to make them on each occasion.. plus the sandwiches alone are over $10.. and the sandwiches really aren't very big - this price also does not include a drink or anything else.  While it tastes good, it really isn't a very good value.  If you can wait a while and pay more than most other places, this place is for you.  Despite the great tasting sandwich, I probably won't go back.. I'm really mixed on this place.",2097,4
350,2,"This is one of my favorite places but tonight with a near empty restaurant the server kept asking me if I was ready to go home. I sometimes could not answer with food in my mouth but it became so annoying that I don't know if I'll be back. I'll just order to go.
What happened to the good servers?",3639,5
353,2,"If I have to wait ten minutes for my burger to be cooked to order, why can't they cook it to order? Why does it have to be well done? Why can't they have cheddar, provolone, or Swiss? Why are the mushrooms canned?",1805,5
354,2,"I will preface this by saying I went to the Greenhouse about two years ago and wasn't impressed...at all.  Well Noodlecat didn't impress either.  First off, the quality of Asian cuisine in NE Ohio is top-notch. The surrounding areas are littered with economic choices that leave the belly full with quality food without torching one's wallet. Noodlecat definitely doesn't fit that mold. The food was tasty, but I can't see myself ever spending $12 for a bowl a soup again anytime soon.  With so many other choices within a ten minute drive, Noodlecat falls short of providing any value.  The portions are small and the taste wasn't good enough to offset it.  I had the Takahachi Ramen and the non-meat steam bun.  The name escapes me.  I was absolutely starving after I finished.  The bartender was cool and they do have Black Label for $2, and $1 during Happy hour.  But, inexpensive crappy beer doesn't do much when I was there to eat.  Location is undesirable as well as parking is always a nightmare down there.  Maybe I was expecting more but, I would go back only if I wanted to eat downtown and everything else was booked.  The service was good.",6748,4
357,2,"My friends and I tried three buffets on our last trip to Vegas. This was by far my least favorite. It was small compared to the others and the food was just mediocre. Their sushi was the best part of the buffet. I didn't like any of the meats or side dishes. The pasta station was all right. I'm sure kids like it because they have cotton candy. It was about $27.00 per person, which is cheaper than the other buffets, but I guess you pay for what you get, right?",1642,4
358,2,"I got the pad kee mao and my noodles were a little hard and bland. My friend got pad thai style noodles with crab on top, and his noodles were delicious. Service was friendly albeit slow considering we were the only party there...",7163,4
360,2,Meh....not a huge fan of this place. Just another tex-mex style restaurant for tourists. I had the fish tacos and they came out cold. The chips and salsa were the best part of my experience. I will try out other places when I come back to Planet Hollywood.,6628,4
367,2,"This used to be my favorite restaurant growing up. When I came home for the holidays, I was disappointed to discover a menu full of upcharges. Over half of the available sides were only available with a $2 upcharge, including a side salad. Pasta is available as a side, but if you ask for baked ziti instead of ziti, there is a $2 upcharge (not listed on the menu) for the cheese they add on top. I disagree with misleading prices on the menu, while ""nickel and dime""ing the consumer on the backend. I will not be back until this changes, which is unfortunate.",5379,5
370,2,Sandwich is dry... I will stick to Jimmy Johns... Got fooled by the $4 lunch special...,6145,4
375,2,"I was in downtown Glendale the other day for business and we decided to walk over to Bitzee Mama's for a quick lunch.  Well, it was anything but quick.  They really weren't that busy, and we waited 10 minutes to be seated, then 15 minutes to put in our order.  Needless to say I was rushed at the end to eat and return to my meeting, gratefully the chairman was with me for lunch.

The menu offers a nice Mexican and American dishes, but I would suggest the Mexican side, come on, that is obviously their thing, specials of Tamales and such, you can go to McDonald's and get a hamburger (without the wait of course).

I ordered the Burrito Enchilada style, which was good and authentic.  Once the food arrived, it was hot and had the typical Sonoran taste that you get in Phoenix.  The food was good and kept this review above 1 star which is where the service was putting it.

They really need to come up with a new culture of customer satisfaction and quick pace to keep their reviews from continuing to decline.",5443,4
377,2,Super skimpy on portions at the end of the night... What are you saving it for at 9:54 pm?,124,5
379,2,"I hate to downgrade this place, but it's totally necessary. After telling everyone how great this place is, we took a friend there for dinner. Being pregnant, hungry and soon to be chubby, I ordered two main dishes. I love saag and I love masala sauce so I ordered both. My chicken tikka masala was good and made to order. My friend got that as well and liked hers. The hubby liked his curry, too. We had exceptional service that night. Where they get downgraded is that they without a doubt served me leftover saag from the lunch buffet. The spinach was browned like it had been left under a heat lamp all day, it had tell-tale paneer in it that they missed removing even though I ordered it plain, and it was spicy as hell even though I ordered it mild. So disappointed in this place for trying to pull a stunt like this. Even though I feel this place may still be the best in town...I'm now on the hunt for my new favorite Indian restaurant in Vegas.",3847,5
380,2,"I've been in line for an hour and a half waiting to be seated at the buffet. There are approximately 20 open tables that have been ""closed"" for the evening, despite the buffet line going around the corner. This food better be damn good.",1644,4
382,2,"I have tried Los Dos Molinos several times.  After my first time I only went per my visitor's request.  The food is so hot you can't eat.  You end up drinking too much and still hungry.  
I know and enjoy authentic mexican food. This is NOT mexican food.",4428,5
385,2,"Slow. Almost all drink options were out in the machine and cashier knew about it.  Have to get napkins from counter, waited five minutes after going back for napkins and restaurant was not very busy.",6148,4
389,2,"Fish tacos were lackluster at best... 
Baja Rolls were eh..",7598,5
390,2,"As other reviewers have said, this is a nice place to get a beer and chat with friends.  It's relatively quiet compared to other places, and they do keep trivial pursuit cards around at the bar, which can add a little fun into the mix if you're the trivia type.

I struggle a little bit with the ""gastropub"" classification on this one, unless you call any bar & grille establishment a gastropub.  I've never had food here that I was particularly fond of, nor would I consider it one of their selling points.  It's merely ok.  

Overall, The Map Room serves a different clientele and provides a niche atmosphere unlike the other establishments in the Square, which is why is still exists.",7521,4
394,2,"OVERRATED&OVERPRICED ! Kept hearing good things about their burgers from coworkers from the east coast so I had to give it a shot. 

burgers here are pricey and didn't really feel like spending that much, so I got the single patty burger combo meal. Got my burger with everything on it from jalapeños to shrooms and a order of their Cajun fries.  

Overall the burger didn't look amazing as I unwrapped the foil but it tasted fresh and the single serving of fries is enough to feed 2 people

Bottom line i would of gave it one star if it wasn't for all the free toppings you can add, but I'd rather go to InNOut and get a double double meal and spend less money for something just as fresh ! minus the mushrooms and jalapeños or just go to smashburger for about the same price !",122,4
401,2,My chicken was raw. I sent it back and it came back to me shriveled up and dried out. My friends meal was better but nothing to rave about. The staff was fantastic...but we wont be back.,13,5
406,2,I thought it would be better for a place inside Aria. The selection was Ok but more for a 24 hour dinner. Some improvements might make it a better place to enjoy some great food.,5808,4
411,2,I want to actually rate this restaurant. I have tried to come here two times now but they do a great business in private parties and shut down for regular business. This may be my last week in Phoenix so I might not get a chance to sample what sounds like a phenomenal Kosher Uzbeki dining experience. I look forward to being able to change my review to one where I've actually eaten there. My advice CALL AHEAD CALL AHEAD CALL AHEAD,4206,5
413,2,"Food is so so, order super spicy. It's the weakest I've eaten in my life, as if they did not add any chile to it at all.",7193,5
416,2,"Was interested to try this place as my boyfriend had recommended it.  

Came for lunchtime and was seated at a table next.  Upon first glance it wasn't all that busy but it's a weekday so I'm sure dinnertime would be packed considering it's Italian food and we're in Vaughan.   

Entering the buffet area, I was first drawn to the pasta table - big mistake! 

Filled up in that before realizing there was still cod fish, sliders, and crab cakes... my favorite out of everything.  Any pasta I tried was all the same and nothing special, the lasagna was alright but mushy.  

The sweets left something to be desired.   Maybe the cream puffs were the best of all I had tried - and I am a lover of all sweets.  It was also difficult to tell what anything was because it wasn't indicated.. So it was kind of a surprise to try everything including the ice cream.  They even had red velvet cake which got me excited at first but a little sad after.  

Bill came up to approximately  $36.00 which isn't unreasonable considering the large quantities of good available. I got full.",3912,5
417,2,"Tonight was our first time there.  Bad night to go....they were having some sort of eating contest that dominated the whole restaurant.  Our dinner was good but we couldn't hear one another talk over the loud emcee who swore left and right not caring whether there were families and children present.
Service was fair. Not sure we'll go back. I'm sad cause we live close by and would love to have a BBQ joint to brag about.",5571,4
420,2,"FIX YOUR FRIES!

I've loved In-N-Out's burgers since I was a kid, and they're as good today as they were then. In my opinion, these are the best burgers in this price range.

But your fries suck. You guys brag about how fresh the ingredients are, but these are consistently the worst fries of any drivethru. They're dried out. Every single time. McD is better. BK is better. Cane's is better. Wendy's too.

Also, the shakes are like 50% foam. What's up with that?

In-N-Out...I love you. I'm a lifelong fan. But your fries are consistently lousy. Please be open to making improvements and change up those fries so my family doesn't have to make an extra stop at McD for fries every time.

Thanks",1783,4
421,2,"I used to really like to eat here, but the menu never changes, it has few vegetarian options, and the quality is inconsistent. They also stopped having onion rings, which made me sad. The service is usually quite good, though, and they have an awesome, always changing beer list. Unfortunately it can be quite loud and crowded on weekend evenings, so it is awkward place to try to go with a group of friends.",327,4
423,2,"I want to like Krave more than I do.  The space is great for someone like me who sometimes likes to work in shared space, and I find the communal table has a quiet and considerate spirit.  People are there to work.  And there's a patio that gets afternoon sun; unfortunately, it looks over a parking lot, but at least there's a mural at the far end to break up all that beautiful concrete.  

The staff is friendly.  No knock on them for their customer interaction.  But... But...

Two stars - because The Coffee.  Somehow every type of coffee I've had there - I'm partial to espressos, cortados, and americanos - has only ever been adequate, and some of them were a lukewarm mess - not to mention the most expensive I've experienced on this strip of St Clair West.  All the friendliness in the world can't make up for the incompetence of the person pulling your coffee.  The coffee beans there are top-notch so I assume the staff is where it's gone wrong.  When I can't finish a cortado - too milky, muddy, more like Tim Horton's coffee than a delicious espresso-based drink - then it's time to move on.",2429,4
424,2,This place is not taking any reservations from yelp anymore!!!!!!!!!!!! The restaurant won't know if you make any reservations on Yelp!!!!))!) PLUS 9:30 for last call when a restaurant close at 11?!?!,4087,5
426,2,"I have gone here around 4-5 times with my family because the first time we went, everything was FANTASTIC! I got the chicken dish (which at the time was different than the one they have on their menu now) and some other members of my family got the filet mignon and we all shared the Au Gratin potatoes and mashed potatoes. Our first experience was fabulous. The steaks were done perfectly and my chicken was moist, delicious, and flavorful. 

Unfortunately the experience has declined with each subsequent visit...

The very last time we went (early February of this year) was terrible. I had the chicken dish as well as the steaks that my family had and they were all horribly, horribly dry and bland. The chicken was the driest I've ever had in my LIFE- certainly not worth almost $30 I paid for it. And the steaks were overcooked as well! It was the biggest waste of money- I barely ate 1/3 of my meal, if even that. No one could finish their steaks either.

I'm giving The Capital Grille 2 stars because the first time we went was wonderful and all of the food was delicious. In addition, the service has always been pretty good and the atmosphere is nice. However, the experience's we've had since then have not been fitting for a restaurant of this caliber (and not to mention price). The Au Gratin potatoes have been consistently tasty, but how can you really mess up cheesy potatoes? We've been adamant on giving The Capital Grille a few more chances after the great first impression, but unfortunately we've learned that it is just too expensive of a risk after so many disappointments.",7050,4
439,2,"13.00 for a loaf of bread.   It cracked my veneer off of my tooth.  So add another few hundred to that 
I think I'll stick with ""Breadworks"".",799,5
444,2,"Schade! Die Location ist wirklich nett. Es waren nur die Hälfte de Tische besetz. Wie mussten zum warten an die Bar. Ok. Nach 5 Min war ein Tisch für uns bereit. Auf der Karte ist Steak eine der Spezialitäten. Meine Wahl das Ribeye, das ist immer saftig und lecker. Schade. Auf dem Steak waren Frittierte Zwiebelringe Kühlschrank kalt. Das Steak hat vermutlich etwas länger nich in der Küche gestanden. Zusammen war das dann kalte Schuhsohle mit Matsch und Zwiebel. Ich habe reklamiert. Das Ergebnis war dann ungenießbar. Die Zwiebeln worden nich mal frittiert und die Schuhsohle wurde noch mal so richtig durchgegart. Frechheit. Ich hab auch das reklamiert und gehe dann ohne Essen ins Bett. Auf der Rechnung wurde mein Essen automatisch gestrichen. Dafür Stern Nr. 2.",5478,5
445,2,"Highly disappointed with the food especially after our waiter gave us a long monologue about using the fresh and best ingredients.  Brandon, our waiter is the only reason I give as many stars as i did.",6482,5
447,2,Pretty average Chinese food. Nothing special but I do LOVE that they deliver. Pretty good food at a great price and an inexpensive delivery fee.,4033,4
448,2,"Disappointed on my second trip there last week. The first time there 6 months ago it was great. Really good-and I couldn't wait to go back.  But this time my omelette was very overcooked, dry and flavorless. My companion's corned beef hash was very greasy. Probably wont be going back.",1537,5
450,2,"Not authentic Nepalese cuisine at all (born and raised in Nepal). We ordered Newari cuisine which is very specific to Nepal itself and noticed they had more of an ""Indian"" taste in most of the dishes. And even the waiter admitted that the Newari/ Nepalese cuisine was more ""Indian incorporated"" than it was Nepalese. Serivce was good in general.",3698,5
451,2,The portion was very small for the price $9. I had the combo 1/2 sandwich and soup. I was still hungry. Staff is very friendly.,7510,5
455,2,"Had my brother-in-law's birthday party here. The decor is lovely and the place is right opposite the Playhouse, and that's where all the good stuff ends. 
The service was inattentive, the food mediocre. We got the tomato bisque and turns out that the vegetable ravioli's ""pink sauce"" was our tomato soup.
O_o

We were a total of about 50 people seated on two different long tables. One table hardly had any of the drinks replenished while the other one had to wait over an hour just to get the appetizers. The only thing that saved this place was that we all had good company, can't imagine going back there for a nice, cozy diner.",535,4
458,2,"I feel bad hating on Lou Dawg's, but I'll likely never go back. The staff is excellent. The were really friendly and always checking in, but the food wasn't good. 

I got the Loutine, which is a poutine with a healthy serving of pulled pork on top. It looked great, but once I got into it and my hunger subsided, I was pretty upset with what was left over. 

The gravy tasted like KFC gravy, which is fine when I'm getting some soggy fries and gravy from the Colonel, but not when I'm promised something so tasty. The pork didn't have much flavor either. 

I really wanted to like it, but I couldn't bring myself to do it. I won't be back.",894,4
476,2,"Average at best, the wings are better than the  pizza.  Don't bother with the Extreme Cheese and Pepperoni, it's just a Pepperoni pizza, save the extra few bucks, you'll need it for the delivery charge.",5104,4
483,2,"This is BYOB family style restaurant. Its extremely loud, the service is basic as is the food. This is NOT an authentic Italian restaurant. All their pasta plates including their pizza has way too much tomato sauce. Their oil and garlic is although quite tasty. If you're looking for a place to bring your annoying kids and family this is the place. However, for some reason this place has become a Montreal institution. It's always full, they don't take credit cards and as I said earlier its so noisy you just can't wait to gulp down your food and leave. Really the only thing good about this restaurant is the price. In fact the pricing was 15% better prior to the government imposition of mandatory invoicing. That is, the pricing was tax in whereas now it's plus tax. Great business model when it's cash only eh!!!!I recommend you bring your favorite wine or one or two steps above so you can have something nice to say at the end. Go once when you don't feel like cooking. 2 pizzas will cost you $25. Oh and by the way never take home uneaten pizza as it tastes and looks like card board the day after.",3992,4
488,2,"Sure, it looks a little more swank than your usual strip mall takeout place. It's so glossy it shines. But the portions are smaller than other similar restaurants, and the prices are higher. I also find the rice and fried items to be somewhat overcooked and dry. Their service is also slooow. Very, very blah.",5955,4
490,2,"Friday at 11:45am ... out of Regular Salted Pretzels.

... I cried a little.",6148,4
493,2,I have been to this restaurant a few times in the last few months.  If you're a noodle person then I think you'll enjoy their pad thai and glass noodle dish.  If you decide to order their fresh rolls make sure you ask for the fresh ones and not the ones that seem to have been prepared days in advance.,8230,4
495,2,"Super pricey! Wow!

I know this place is the only coffee joint in The Cosmopolitan, but are you serious?! Seven to Eight bucks for blended drinks?! Crazy stuff.

To top it off, the coffee and pastries are average at best. I would say Starbucks at a different hotel is a better bet. If you want great coffee, head over to Palio at the Bellagio!",1859,4
498,2,"I love Waffle House but I prefer the Independence location. At this location the staff isn't as friendly as I'm used to at ANY Waffle House. 

I ordered the chopped steak party melt and opened it to put mayo on it and there was a piece of hair. 

My last time here.",1509,5
502,2,"Ok -I think my taste buds may be way off on this one but I hadn't eaten a donut since I was a kid. 

I got several Ronald's donuts and they just didn't taste like much. They also seemed so greasy It reminded me of fried chicken in a way. 

Weird, I know. After eating healthy for so long maybe my taste for crap is just unreliable now. Which makes me kinda happy cuz I don't crave it but kinda sad cuz I remember donuts as being so good. 
*confused* 

PS: The counter help was really nice and prompt",6268,4
503,2,"I feel that this could be a perfectly good restaurant but every time I go there they just miss it.  So if you want an expensive meal that just misses tasting good, go here.

I had a perfectly good burger that had apparently been sitting too long before the waiter brought it out: the bottom bun had turned to soggy mush.  So close!

I tried a tomato bisque with goat cheese lumps in it that had a lot of potential but there were so many goat cheese lumps that the balance was all wrong.  When you order a tomato bisque it should taste like tomato, I reckon.  Almost!

I had a fancy-pants mushroom and sausage pizza.  Each ingredient seemed good by itself, but as a whole it had a taste I would describe as ""many strong clashing cheeses.""  Nearly there!",7942,4
506,2,"Ive been hoping that this would be my ""goto"" place for a Sonoran style hot dog in the Phoenix area, sadly it wont be.  Tucson still owns Phoenix in that category.   The actual bacon wrapped dog was ""just there"".  The bun (bread) was respectable since they didn't use a hot dog bun, but a tad stale.  The toppings were weak.  Chopped, raw, white onion?  Where are the butter laden grilled ones?  Also, the pico tasted mass produced, store bought garbage.   Big let down.   

I also got a burger and really expected it to be great judging by the wall of mesquite smoke that hits you when you enter Bueno Burger.  Very average burger at best.  It's nice that you can customize your burger ala Five Guys for free, but I couldn't taste the mesquite in the meat.   

This place has a lot of potential, but it's lacking on the most important factor being flavor.  Until then, it's a roadie to El Guero Canelo for my hot dogs estilo Sonora fix.",5797,4
507,2,Had dinner here with 15 other people. I ordered the fajita salad and half way through I found a metal bracket in my salad. I have never experienced this before in my life. As I pulled the metal piece out of my salad and held it up my friends were just as amazed as I was. The manager Pattied immediatly came ouver and apologized. She comped my meal and a few drinks. Now thta I think about it hey should have given us a huge discount for that mishap. We I wont be going back there anytime soon. Was my firs and last time.,2337,5
508,2,I like eating here and the manager is nice but the two girls who work in the front shouldn't even be working there. Stupid little girls think they can mess up an order then blame me for it being messed up. This place needs new front people and those girls need a giant attitude adjustment.,4408,5
509,2,"Excellent food and wine, atmosphere OK, the downer was that we went on a Saturday night and we were sweating the complete time....I even had to put my hair up in a make shift bun.  Extremely uncomfortable.",7438,5
